number,values_AnswerCorrectness,values_ContextPrecision,values_ContextRecall,values_Faithfulness,datetime_start,datetime_complete,duration,params_chunk_mode,params_chunk_size,params_context_parents,params_retrieval_count,user_attrs_page,system_attrs_fixed_params,state
0,0.775570172816515,0.9583333333333333,0.875,0.6666666666666666,2026-08-30 04:31:05.904317,2026-08-30 04:31:43.838306,0 days 00:00:37.933989,fixed,512,False,5,https://www.torproject.org/about/history/,"{'chunk_mode': 'fixed', 'chunk_size': 512, 'context_parents': False, 'retrieval_count': 5}",COMPLETE
1,0.9636139422655106,0.9875,0.9083333333333334,1.0,2026-08-30 04:31:43.856684,2026-08-30 04:32:26.792275,0 days 00:00:42.935591,fixed,512,False,5,https://lua.org/start.html,"{'chunk_mode': 'fixed', 'chunk_size': 512, 'context_parents': False, 'retrieval_count': 5}",COMPLETE
2,0.9068490266799927,0.9548611111111112,1.0,0.875,2026-08-30 04:32:26.807846,2026-08-30 04:33:04.144346,0 days 00:00:37.336500,fixed,512,False,5,https://www.virtualmin.com/,"{'chunk_mode': 'fixed', 'chunk_size': 512, 'context_parents': False, 'retrieval_count': 5}",COMPLETE
3,0.7989596277475357,0.84375,1.0,0.9166666666666666,2026-08-30 04:33:04.166076,2026-08-30 04:33:36.756962,0 days 00:00:32.590886,fixed,512,False,5,https://www.ukrfund.org/about,"{'chunk_mode': 'fixed', 'chunk_size': 512, 'context_parents': False, 'retrieval_count': 5}",COMPLETE
4,0.6356809549033642,0.772603785103785,1.0,1.0,2026-08-30 04:33:36.776839,2026-08-30 04:34:13.363283,0 days 00:00:36.586444,fixed,512,False,5,https://www.arsys.net/,"{'chunk_mode': 'fixed', 'chunk_size': 512, 'context_parents': False, 'retrieval_count': 5}",COMPLETE
5,0.522863507270813,0.9472222222222222,0.625,0.75,2026-08-30 04:34:13.399010,2026-08-30 04:34:48.054215,0 days 00:00:34.655205,fixed,512,False,5,https://dnsimple.com/pricing,"{'chunk_mode': 'fixed', 'chunk_size': 512, 'context_parents': False, 'retrieval_count': 5}",COMPLETE
6,0.8390915989875793,0.8333333333333334,1.0,1.0,2026-08-30 04:34:48.073457,2026-08-30 04:35:29.585632,0 days 00:00:41.512175,fixed,512,False,5,https://www.sfu.ca/students/admission/apply.html,"{'chunk_mode': 'fixed', 'chunk_size': 512, 'context_parents': False, 'retrieval_count': 5}",COMPLETE
7,0.9330553412437439,0.8732638888888888,1.0,0.8125,2026-08-30 04:35:29.608495,2026-08-30 04:36:14.486085,0 days 00:00:44.877590,fixed,512,False,5,https://www.dji.com/nl/power-140w-gan-charger?site=brandsite&from=landing_page,"{'chunk_mode': 'fixed', 'chunk_size': 512, 'context_parents': False, 'retrieval_count': 5}",COMPLETE
8,0.6477792821824551,0.9027777777777778,1.0,0.75,2026-08-30 04:36:14.509657,2026-08-30 04:36:49.505185,0 days 00:00:34.995528,fixed,512,False,5,https://www.rtbhouse.com/,"{'chunk_mode': 'fixed', 'chunk_size': 512, 'context_parents': False, 'retrieval_count': 5}",COMPLETE
9,0.8151258379220963,0.909438775510204,1.0,0.95,2026-08-30 04:36:49.527096,2026-08-30 04:37:32.272085,0 days 00:00:42.744989,fixed,512,False,5,https://www.yourhosting.nl/,"{'chunk_mode': 'fixed', 'chunk_size': 512, 'context_parents': False, 'retrieval_count': 5}",COMPLETE
10,0.6322072386741638,0.9166666666666666,0.7,0.6,2026-08-30 04:37:32.295083,2026-08-30 04:38:12.188873,0 days 00:00:39.893790,fixed,512,False,5,https://www.dictionary.com/articles/what-are-idioms,"{'chunk_mode': 'fixed', 'chunk_size': 512, 'context_parents': False, 'retrieval_count': 5}",COMPLETE
11,0.7830611057579517,0.9375,1.0,0.75,2026-08-30 04:38:12.210416,2026-08-30 04:38:46.258012,0 days 00:00:34.047596,fixed,512,False,5,https://imunify360.com/,"{'chunk_mode': 'fixed', 'chunk_size': 512, 'context_parents': False, 'retrieval_count': 5}",COMPLETE
12,0.9542274475097656,1.0,0.75,0.5,2026-08-30 04:38:46.278853,2026-08-30 04:39:22.148020,0 days 00:00:35.869167,fixed,512,False,5,https://www.harica.gr/,"{'chunk_mode': 'fixed', 'chunk_size': 512, 'context_parents': False, 'retrieval_count': 5}",COMPLETE
13,0.9789113104343414,0.8928571428571428,1.0,1.0,2026-08-30 04:39:22.168517,2026-08-30 04:39:58.525285,0 days 00:00:36.356768,fixed,512,False,5,https://getcomposer.org/doc/00-intro.md,"{'chunk_mode': 'fixed', 'chunk_size': 512, 'context_parents': False, 'retrieval_count': 5}",COMPLETE
14,0.8766936361789703,0.8621527777777777,1.0,1.0,2026-08-30 04:39:58.542583,2026-08-30 04:40:33.462594,0 days 00:00:34.920011,fixed,512,False,5,https://giantpanda.com/,"{'chunk_mode': 'fixed', 'chunk_size': 512, 'context_parents': False, 'retrieval_count': 5}",COMPLETE
15,0.9717535525560379,0.9014880952380953,1.0,1.0,2026-08-30 04:40:33.483726,2026-08-30 04:41:03.666227,0 days 00:00:30.182501,fixed,512,False,5,https://www.wufoo.com/,"{'chunk_mode': 'fixed', 'chunk_size': 512, 'context_parents': False, 'retrieval_count': 5}",COMPLETE
16,0.7867241650819778,1.0,1.0,0.875,2026-08-30 04:41:03.694928,2026-08-30 04:41:36.416973,0 days 00:00:32.722045,fixed,512,False,5,https://www.gnome.org/,"{'chunk_mode': 'fixed', 'chunk_size': 512, 'context_parents': False, 'retrieval_count': 5}",COMPLETE
17,0.7178065776824951,0.875,0.7708333333333334,1.0,2026-08-30 04:41:36.435829,2026-08-30 04:42:16.478487,0 days 00:00:40.042658,fixed,512,False,5,https://www.abebooks.com/books/sell/,"{'chunk_mode': 'fixed', 'chunk_size': 512, 'context_parents': False, 'retrieval_count': 5}",COMPLETE
18,0.7855757065117359,0.9027777777777778,1.0,0.8333333333333333,2026-08-30 04:42:16.512287,2026-08-30 04:42:54.579282,0 days 00:00:38.066995,fixed,512,False,5,https://churchofjesuschrist.org/,"{'chunk_mode': 'fixed', 'chunk_size': 512, 'context_parents': False, 'retrieval_count': 5}",COMPLETE
19,0.5279784761369228,0.7083333333333333,0.75,0.75,2026-08-30 04:42:54.605205,2026-08-30 04:43:24.202773,0 days 00:00:29.597568,fixed,512,False,5,https://buymeacoffee.com/,"{'chunk_mode': 'fixed', 'chunk_size': 512, 'context_parents': False, 'retrieval_count': 5}",COMPLETE
